clock_tick,event_type,source_node,target_node,value,details
0,qubit_created,0,,,"{""qubit_id"":0}"
0,qubit_created,0,,,"{""qubit_id"":1}"
0,qubit_created,0,,,"{""qubit_id"":2}"
0,qubit_created,0,,,"{""qubit_id"":3}"
0,qubit_created,0,,,"{""qubit_id"":4}"
0,qubit_created,0,,,"{""qubit_id"":5}"
0,qubit_created,0,,,"{""qubit_id"":6}"
0,qubit_created,0,,,"{""qubit_id"":7}"
0,qubit_created,0,,,"{""qubit_id"":8}"
0,qubit_created,0,,,"{""qubit_id"":9}"
0,qubit_created,1,,,"{""qubit_id"":10}"
0,qubit_created,1,,,"{""qubit_id"":11}"
0,qubit_created,1,,,"{""qubit_id"":12}"
0,qubit_created,1,,,"{""qubit_id"":13}"
0,qubit_created,1,,,"{""qubit_id"":14}"
0,qubit_created,1,,,"{""qubit_id"":15}"
0,qubit_created,1,,,"{""qubit_id"":16}"
0,qubit_created,1,,,"{""qubit_id"":17}"
0,qubit_created,1,,,"{""qubit_id"":18}"
0,qubit_created,1,,,"{""qubit_id"":19}"
0,qubit_created,2,,,"{""qubit_id"":20}"
0,qubit_created,2,,,"{""qubit_id"":21}"
0,qubit_created,2,,,"{""qubit_id"":22}"
0,qubit_created,2,,,"{""qubit_id"":23}"
0,qubit_created,2,,,"{""qubit_id"":24}"
0,qubit_created,2,,,"{""qubit_id"":25}"
0,qubit_created,2,,,"{""qubit_id"":26}"
0,qubit_created,2,,,"{""qubit_id"":27}"
0,qubit_created,2,,,"{""qubit_id"":28}"
0,qubit_created,2,,,"{""qubit_id"":29}"
0,qubit_created,3,,,"{""qubit_id"":30}"
0,qubit_created,3,,,"{""qubit_id"":31}"
0,qubit_created,3,,,"{""qubit_id"":32}"
0,qubit_created,3,,,"{""qubit_id"":33}"
0,qubit_created,3,,,"{""qubit_id"":34}"
0,qubit_created,3,,,"{""qubit_id"":35}"
0,qubit_created,3,,,"{""qubit_id"":36}"
0,qubit_created,3,,,"{""qubit_id"":37}"
0,qubit_created,3,,,"{""qubit_id"":38}"
0,qubit_created,3,,,"{""qubit_id"":39}"
0,epr_created,,,1.0,"{""epr_id"":0}"
0,epr_created,,,1.0,"{""epr_id"":1}"
0,epr_created,,,1.0,"{""epr_id"":2}"
0,epr_created,,,1.0,"{""epr_id"":3}"
0,epr_created,,,1.0,"{""epr_id"":4}"
0,epr_created,,,1.0,"{""epr_id"":5}"
0,epr_created,,,1.0,"{""epr_id"":6}"
0,epr_created,,,1.0,"{""epr_id"":7}"
0,epr_created,,,1.0,"{""epr_id"":8}"
0,epr_created,,,1.0,"{""epr_id"":9}"
0,epr_created,,,1.0,"{""epr_id"":10}"
0,epr_created,,,1.0,"{""epr_id"":11}"
0,epr_created,,,1.0,"{""epr_id"":12}"
0,epr_created,,,1.0,"{""epr_id"":13}"
0,epr_created,,,1.0,"{""epr_id"":14}"
0,epr_created,,,1.0,"{""epr_id"":15}"
0,epr_created,,,1.0,"{""epr_id"":16}"
0,epr_created,,,1.0,"{""epr_id"":17}"
0,epr_created,,,1.0,"{""epr_id"":18}"
0,epr_created,,,1.0,"{""epr_id"":19}"
0,epr_created,,,1.0,"{""epr_id"":20}"
0,epr_created,,,1.0,"{""epr_id"":21}"
0,epr_created,,,1.0,"{""epr_id"":22}"
0,epr_created,,,1.0,"{""epr_id"":23}"
0,epr_created,,,1.0,"{""epr_id"":24}"
0,epr_created,,,1.0,"{""epr_id"":25}"
0,epr_created,,,1.0,"{""epr_id"":26}"
0,epr_created,,,1.0,"{""epr_id"":27}"
0,epr_created,,,1.0,"{""epr_id"":28}"
0,epr_created,,,1.0,"{""epr_id"":29}"
0,epr_created,,,1.0,"{""epr_id"":30}"
0,epr_created,,,1.0,"{""epr_id"":31}"
0,epr_created,,,1.0,"{""epr_id"":32}"
0,epr_created,,,1.0,"{""epr_id"":33}"
0,epr_created,,,1.0,"{""epr_id"":34}"
0,epr_created,,,1.0,"{""epr_id"":35}"
0,epr_created,,,1.0,"{""epr_id"":36}"
0,epr_created,,,1.0,"{""epr_id"":37}"
0,epr_created,,,1.0,"{""epr_id"":38}"
0,epr_created,,,1.0,"{""epr_id"":39}"
0,epr_created,,,1.0,"{""epr_id"":40}"
0,epr_created,,,1.0,"{""epr_id"":41}"
0,epr_created,,,1.0,"{""epr_id"":42}"
0,epr_created,,,1.0,"{""epr_id"":43}"
0,epr_created,,,1.0,"{""epr_id"":44}"
0,epr_created,,,1.0,"{""epr_id"":45}"
0,epr_created,,,1.0,"{""epr_id"":46}"
0,epr_created,,,1.0,"{""epr_id"":47}"
0,epr_created,,,1.0,"{""epr_id"":48}"
0,epr_created,,,1.0,"{""epr_id"":49}"
0,epr_created,,,1.0,"{""epr_id"":50}"
0,epr_created,,,1.0,"{""epr_id"":51}"
0,epr_created,,,1.0,"{""epr_id"":52}"
0,epr_created,,,1.0,"{""epr_id"":53}"
0,epr_created,,,1.0,"{""epr_id"":54}"
0,epr_created,,,1.0,"{""epr_id"":55}"
0,epr_created,,,1.0,"{""epr_id"":56}"
0,epr_created,,,1.0,"{""epr_id"":57}"
0,epr_created,,,1.0,"{""epr_id"":58}"
0,epr_created,,,1.0,"{""epr_id"":59}"
0,epr_created,,,1.0,"{""epr_id"":60}"
0,epr_created,,,1.0,"{""epr_id"":61}"
0,epr_created,,,1.0,"{""epr_id"":62}"
0,epr_created,,,1.0,"{""epr_id"":63}"
0,epr_created,,,1.0,"{""epr_id"":64}"
0,epr_created,,,1.0,"{""epr_id"":65}"
0,epr_created,,,1.0,"{""epr_id"":66}"
0,epr_created,,,1.0,"{""epr_id"":67}"
0,epr_created,,,1.0,"{""epr_id"":68}"
0,epr_created,,,1.0,"{""epr_id"":69}"
0,epr_created,,,1.0,"{""epr_id"":70}"
0,epr_created,,,1.0,"{""epr_id"":71}"
0,epr_created,,,1.0,"{""epr_id"":72}"
0,epr_created,,,1.0,"{""epr_id"":73}"
0,epr_created,,,1.0,"{""epr_id"":74}"
0,epr_created,,,1.0,"{""epr_id"":75}"
0,epr_created,,,1.0,"{""epr_id"":76}"
0,epr_created,,,1.0,"{""epr_id"":77}"
0,epr_created,,,1.0,"{""epr_id"":78}"
0,epr_created,,,1.0,"{""epr_id"":79}"
0,epr_created,,,1.0,"{""epr_id"":80}"
0,epr_created,,,1.0,"{""epr_id"":81}"
0,epr_created,,,1.0,"{""epr_id"":82}"
0,epr_created,,,1.0,"{""epr_id"":83}"
0,epr_created,,,1.0,"{""epr_id"":84}"
0,epr_created,,,1.0,"{""epr_id"":85}"
0,epr_created,,,1.0,"{""epr_id"":86}"
0,epr_created,,,1.0,"{""epr_id"":87}"
0,epr_created,,,1.0,"{""epr_id"":88}"
0,epr_created,,,1.0,"{""epr_id"":89}"
0,purification_provisioned,0,1,,"{""strategy"":""symmetric"",""rounds"":2,""estimated_pairs"":4,""pool_size"":4}"
0,purification_provisioned,1,2,,"{""strategy"":""pumping"",""rounds"":3,""estimated_pairs"":4,""pool_size"":2}"
0,purification_provisioned,2,3,,"{""strategy"":""symmetric"",""rounds"":2,""estimated_pairs"":4,""pool_size"":6}"
1,purification_started,0,1,,"{""strategy"":""symmetric"",""rounds"":2,""initial_pairs"":4,""pool_size"":4}"
1,epr_created,,,0.9972375690607734,"{""epr_id"":90}"
1,purification_round_success,0,1,0.9972375690607734,"{""round"":1}"
1,epr_created,,,0.9972375690607734,"{""epr_id"":91}"
1,purification_round_success,0,1,0.9972375690607734,"{""round"":1}"
1,epr_created,,,0.9969239712909921,"{""epr_id"":92}"
1,purification_round_success,0,1,0.9969239712909921,"{""round"":2}"
1,purification_success,0,1,0.9969239712909921,"{""strategy"":""symmetric"",""surviving_pairs"":1}"
1,purification_started,1,2,,"{""strategy"":""pumping"",""rounds"":3,""initial_pairs"":4,""pool_size"":2}"
1,epr_created,,,0.9649643705463183,"{""epr_id"":93}"
1,purification_round_success,1,2,0.9649643705463183,"{""round"":1}"
1,epr_created,,,0.9524481803626292,"{""epr_id"":94}"
1,purification_round_success,1,2,0.9524481803626292,"{""round"":2}"
1,epr_created,,,0.9478383746106543,"{""epr_id"":95}"
1,purification_round_success,1,2,0.9478383746106543,"{""round"":3}"
1,purification_success,1,2,0.9478383746106543,"{""strategy"":""pumping"",""surviving_pairs"":1}"
1,purification_started,2,3,,"{""strategy"":""symmetric"",""rounds"":2,""initial_pairs"":4,""pool_size"":6}"
1,epr_created,,,0.9649643705463183,"{""epr_id"":96}"
1,purification_round_success,2,3,0.9649643705463183,"{""round"":1}"
1,epr_created,,,0.9972375690607734,"{""epr_id"":97}"
1,purification_round_success,2,3,0.9972375690607734,"{""round"":1}"
1,epr_created,,,0.9949788416509221,"{""epr_id"":98}"
1,purification_round_success,2,3,0.9949788416509221,"{""round"":2}"
1,purification_success,2,3,0.9949788416509221,"{""strategy"":""symmetric"",""surviving_pairs"":1}"
45,qubit_expired,0,,,"{""qubit_id"":0}"
45,qubit_expired,0,,,"{""qubit_id"":1}"
45,qubit_expired,0,,,"{""qubit_id"":2}"
45,qubit_expired,0,,,"{""qubit_id"":3}"
45,qubit_expired,0,,,"{""qubit_id"":4}"
45,qubit_expired,0,,,"{""qubit_id"":5}"
45,qubit_expired,0,,,"{""qubit_id"":6}"
45,qubit_expired,0,,,"{""qubit_id"":7}"
45,qubit_expired,0,,,"{""qubit_id"":8}"
45,qubit_expired,0,,,"{""qubit_id"":9}"
45,qubit_expired,1,,,"{""qubit_id"":10}"
45,qubit_expired,1,,,"{""qubit_id"":11}"
45,qubit_expired,1,,,"{""qubit_id"":12}"
45,qubit_expired,1,,,"{""qubit_id"":13}"
45,qubit_expired,1,,,"{""qubit_id"":14}"
45,qubit_expired,1,,,"{""qubit_id"":15}"
45,qubit_expired,1,,,"{""qubit_id"":16}"
45,qubit_expired,1,,,"{""qubit_id"":17}"
45,qubit_expired,1,,,"{""qubit_id"":18}"
45,qubit_expired,1,,,"{""qubit_id"":19}"
45,qubit_expired,2,,,"{""qubit_id"":20}"
45,qubit_expired,2,,,"{""qubit_id"":21}"
45,qubit_expired,2,,,"{""qubit_id"":22}"
45,qubit_expired,2,,,"{""qubit_id"":23}"
45,qubit_expired,2,,,"{""qubit_id"":24}"
45,qubit_expired,2,,,"{""qubit_id"":25}"
45,qubit_expired,2,,,"{""qubit_id"":26}"
45,qubit_expired,2,,,"{""qubit_id"":27}"
45,qubit_expired,2,,,"{""qubit_id"":28}"
45,qubit_expired,2,,,"{""qubit_id"":29}"
45,qubit_expired,3,,,"{""qubit_id"":30}"
45,qubit_expired,3,,,"{""qubit_id"":31}"
45,qubit_expired,3,,,"{""qubit_id"":32}"
45,qubit_expired,3,,,"{""qubit_id"":33}"
45,qubit_expired,3,,,"{""qubit_id"":34}"
45,qubit_expired,3,,,"{""qubit_id"":35}"
45,qubit_expired,3,,,"{""qubit_id"":36}"
45,qubit_expired,3,,,"{""qubit_id"":37}"
45,qubit_expired,3,,,"{""qubit_id"":38}"
45,qubit_expired,3,,,"{""qubit_id"":39}"
45,epr_expired,,,,"{""epr_id"":0,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":1,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":2,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":3,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":4,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":5,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":6,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":7,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":8,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":9,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":10,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":11,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":12,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":13,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":14,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":15,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":16,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":17,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":18,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":19,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":20,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":21,""channel"":""(0, 1)""}"
45,epr_expired,,,,"{""epr_id"":30,""channel"":""(1, 2)""}"
45,epr_expired,,,,"{""epr_id"":31,""channel"":""(1, 2)""}"
45,epr_expired,,,,"{""epr_id"":32,""channel"":""(1, 2)""}"
45,epr_expired,,,,"{""epr_id"":33,""channel"":""(1, 2)""}"
45,epr_expired,,,,"{""epr_id"":34,""channel"":""(1, 2)""}"
45,epr_expired,,,,"{""epr_id"":35,""channel"":""(1, 2)""}"
45,epr_expired,,,,"{""epr_id"":36,""channel"":""(1, 2)""}"
45,epr_expired,,,,"{""epr_id"":37,""channel"":""(1, 2)""}"
45,epr_expired,,,,"{""epr_id"":38,""channel"":""(1, 2)""}"
45,epr_expired,,,,"{""epr_id"":39,""channel"":""(1, 2)""}"
45,epr_expired,,,,"{""epr_id"":40,""channel"":""(1, 2)""}"
45,epr_expired,,,,"{""epr_id"":41,""channel"":""(1, 2)""}"
45,epr_expired,,,,"{""epr_id"":42,""channel"":""(1, 2)""}"
45,epr_expired,,,,"{""epr_id"":43,""channel"":""(1, 2)""}"
